City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
248,itaituba,-4.2761,-55.9836,91.56,58,40,5.75,BR,1685051651
249,barra do garcas,-15.89,-52.2567,84.78,61,20,3.44,BR,1685051651
250,ravar,31.2656,56.8055,80.22,32,75,8.77,IR,1685051652
251,lamu,-2.2717,40.902,79.02,79,56,12.24,KE,1685051652
252,aban,56.67,96.06,37.13,76,54,4.14,RU,1685051652
253,ola,59.5833,151.2833,44.15,91,99,1.48,RU,1685051652
254,luganville,-15.5333,167.1667,78.17,63,64,9.33,VU,1685051652
255,kirensk,57.7853,108.1119,37.17,96,100,3.47,RU,1685051653
256,tolanaro,-25.0319,46.9987,64.47,82,75,4.61,MG,1685051653
257,kapa'a,22.0752,-159.319,80.92,75,40,17.27,US,1685051653
258,kodiak,57.79,-152.4072,47.71,71,100,3.44,US,1685051653
259,holualoa,19.6228,-155.9522,78.78,78,75,12.66,US,1685051653
260,sinop,41.7711,34.8709,55.04,89,98,3.65,TR,1685051654
261,kavaratti,10.5669,72.642,84.83,70,3,8.68,IN,1685051654
262,mar del plata,-38.0023,-57.5575,65.08,99,100,6.91,AR,1685051638
263,armacao de buzios,-22.7469,-41.8817,75.25,86,0,11.88,BR,1685051405
264,aykhal,66.0,111.5,29.5,86,100,5.39,RU,1685051654
265,tari,12.4086,4.4914,95.0,35,24,13.73,NG,1685051655
266,huarmey,-10.0681,-78.1522,74.28,73,56,10.89,PE,1685051655
267,backa topola,45.8152,19.6318,61.63,91,73,6.73,RS,1685051655
268,murzuq,25.9155,13.9184,80.15,14,75,8.1,LY,1685051655
269,vedaraniyam,10.3667,79.85,84.2,84,9,16.13,IN,1685051655
270,punta del este,-34.9667,-54.95,70.88,85,0,4.61,UY,1685051656
271,port alfred,-33.5906,26.891,55.18,90,78,7.0,ZA,1685051656
272,geraldton,-28.7667,114.6,54.01,62,7,5.75,AU,1685051656
273,gusinoozyorsk,51.2833,106.5,39.63,62,97,8.63,RU,1685051656
274,georgetown,5.4112,100.3354,80.55,86,20,2.3,MY,1685051657
275,fujin,47.26,132.0322,61.25,64,100,13.56,CN,1685051657
276,sibiti,-3.6819,13.3499,69.31,98,100,1.32,CG,1685051657
277,kafr takharim,36.1168,36.5153,63.28,83,0,3.69,SY,1685051657
278,isangel,-19.55,169.2667,73.51,94,20,0.0,VU,1685051658
279,palangkaraya,-2.2,113.8333,73.74,97,100,1.57,ID,1685051658
280,gambela,8.25,34.5833,70.75,93,100,5.99,ET,1685051658
281,tchibanga,-2.85,11.0333,72.66,98,88,1.16,GA,1685051658
282,rio grande,-32.035,-52.0986,71.71,80,1,8.52,BR,1685051659
283,nakamura,32.9833,132.9333,64.83,80,78,3.65,JP,1685051659
284,yuzhno-kurilsk,44.0306,145.8556,54.55,67,0,6.69,RU,1685051659
285,pitimbu,-7.4706,-34.8086,81.19,79,82,12.1,BR,1685051659
286,ad dawadimi,24.5077,44.3924,83.55,28,6,8.86,SA,1685051659
287,conception bay south,47.4999,-52.9981,42.55,90,100,12.41,CA,1685051625
288,buala,-8.145,159.5921,77.4,90,100,7.07,SB,1685051660
289,ugurludag,40.4463,34.4526,55.44,79,65,4.18,TR,1685051660
290,fort bragg,35.139,-79.006,74.75,60,75,16.11,US,1685051660
291,nieuw amsterdam,5.8833,-55.0833,78.03,88,40,6.91,SR,1685051660
292,mondlo,-27.983,30.7177,57.4,51,0,6.4,ZA,1685051661
